Income 75-122.000,Income >123.000,Average income,Purchasing power class,Contribution private third party insurance,Contribution car policies,Contribution fire policies,AWAPART Number of private third party insurance 1 - 12,Number of car policies,Number of fire policies,Customer Subtype,Number of houses 
122>income>75,imcome<123,good income,middle class,f 0,full Contribution car policies,Proportion of Property covered by insurance: 100%,no private third party insurance ,1 car policies,1 fire policies,Lower class large families,have 1 house
95>income>85,imcome<123,very good income,above middle class,f 50 - 99,no Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",2 private third party insurance ,no car policies,1 fire policies,Mixed small town dwellers,have 1 house
122>income>75,imcome<123,not so good income,above middle class,f 50 - 99,full Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,1 car policies,1 fire policies,Mixed small town dwellers,have 1 house
122>income>75,imcome<123,good income,above middle class,f 0,full Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",no private third party insurance ,1 car policies,1 fire policies,"Modern, complete families",have 1 house
122>income>75,imcome<123,too good income,middle class,f 0,no Contribution car policies,"Total loss payable: [100%] loss i.e. Rs. 500,000",no private third party insurance ,no car policies,1 fire policies,Large family farms,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Young and rising,have 1 house
122>income>75,imcome<123,not so good income,high class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Large religous families,have 2 houses
122>income>75,imcome<123,not so good income,middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Lower class large families,have 1 house
122>income>75,imcome<123,bad income,middle class,f 0,partial Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Lower class large families,have 1 house
85>income>75,imcome<123,good income,golden class,f 50 - 99,no Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,no car policies,1 fire policies,Family starters,have 2 houses
95>income>85,income is bigger than 123,too high income,golden class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Stable family,have 1 house
85>income>75,imcome<123,not so good income,above middle class,f 50 - 99,partial Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,1 car policies,1 fire policies,"Modern, complete families",have 1 house
85>income>75,imcome<123,not so good income,middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Lower class large families,have 1 house
85>income>75,imcome<123,good income,above middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Mixed rurals,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 50 - 99,partial Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,1 car policies,1 fire policies,Young and rising,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 50 - 99,no Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,no car policies,1 fire policies,Lower class large families,have 1 house
95>income>85,imcome<123,very good income,above middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Traditional families,have 1 house
122>income>75,imcome<123,good income,above poverty line,f 50 - 99,full Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,1 car policies,1 fire policies,Mixed apartment dwellers,have 2 houses
122>income>75,imcome<123,good income,top high class,f 50 - 99,partial Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,1 car policies,1 fire policies,Young all american family,have 1 house
122>income>75,imcome<123,not so good income,poverty,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Low income catholics,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Lower class large families,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,1 fire policies,Lower class large families,have 2 houses
122>income>75,imcome<123,very good income,top high class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,1 fire policies,Young all american family,have 1 house
122>income>75,imcome<123,good income,top high class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,"Large family, employed child",have 2 houses
122>income>75,imcome<123,good income,top high class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Young all american family,have 2 houses
122>income>75,imcome<123,good income,middle class,f 50 - 99,no Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,no car policies,1 fire policies,Lower class large families,have 1 house
95>income>85,imcome<123,very good income,above middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Mixed small town dwellers,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 50 - 99,no Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,no car policies,1 fire policies,Large family farms,have 1 house
122>income>75,imcome<123,too bad income,poverty,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Low income catholics,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 50 - 99,no Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,no car policies,1 fire policies,Lower class large families,have 2 houses
122>income>75,imcome<123,not so good income,above poverty line,f 50 - 99,full Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,1 car policies,1 fire policies,"Young, low educated ",have 2 houses
122>income>75,imcome<123,not so good income,middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Young and rising,have 1 house
122>income>75,income is bit bigger than 123,good income,middle class,f 0,full Contribution car policies,Contribution by Limits fire policies,no private third party insurance ,1 car policies,1 fire policies,Lower class large families,have 1 house
122>income>75,imcome<123,not so good income,above middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Traditional families,have 1 house
122>income>75,imcome<123,good income,top high class,f 0,no Contribution car policies,Contribution by Limits fire policies,no private third party insurance ,no car policies,1 fire policies,Young all american family,have 2 houses
122>income>75,imcome<123,not so good income,golden class,f 50 - 99,full Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,1 car policies,1 fire policies,Middle class families,have 1 house
122>income>75,imcome<123,good income,top high class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,2 car policies,1 fire policies,Dinki's (double income no kids),have 1 house
85>income>75,imcome<123,not so good income,above middle class,f 0,no Contribution car policies,"The total value of the property:Rs. 50,00,000",no private third party insurance ,no car policies,1 fire policies,Mixed rurals,have 1 house
122>income>75,imcome<123,not so good income,high class,f 0,no Contribution car policies,"Total loss payable: [100%] loss i.e. Rs. 500,000",no private third party insurance ,no car policies,1 fire policies,Large religous families,have 1 house
85>income>75,imcome<123,not so good income,middle class,f 50 - 99,partial Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,1 fire policies,Lower class large families,have 2 houses
122>income>75,imcome<123,not so good income,above poverty line,f 50 - 99,no Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,no car policies,1 fire policies,"Young, low educated ",have 1 house
122>income>75,income is bit bigger than 123,good income,top high class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,2 fire policies,Family starters,have 1 house
85>income>75,income is bit bigger than 123,very good income,golden class,f 0,no Contribution car policies,"Total loss payable: [100%] loss i.e. Rs. 500,000",no private third party insurance ,no car policies,1 fire policies,Middle class families,have 1 house
85>income>75,imcome<123,good income,middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Lower class large families,have 1 house
85>income>75,imcome<123,good income,top high class,f 50 - 99,no Contribution car policies,Proportion of Property covered by insurance: 100%,1 private third party insurance ,no car policies,1 fire policies,High status seniors,have 1 house
85>income>75,income is bit bigger than 123,not so good income,above middle class,f 50 - 99,full Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,1 car policies,1 fire policies,Traditional families,have 1 house
85>income>75,imcome<123,not so good income,middle class,f 1 - 49,no Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,no car policies,1 fire policies,Couples with teens 'Married with children',have 1 house
122>income>75,imcome<123,bad income,above middle class,f 50 - 99,partial Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,1 car policies,1 fire policies,Traditional families,have 1 house
85>income>75,imcome<123,good income,high class,f 0,partial Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Large religous families,have 1 house
122>income>75,imcome<123,not so good income,middle class,f 1 - 49,no Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,no car policies,1 fire policies,Lower class large families,have 2 houses
122>income>75,imcome<123,not so good income,middle class,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Lower class large families,have 1 house
122>income>75,imcome<123,not so good income,poverty,f 50 - 99,no Contribution car policies,Contribution by Limits fire policies,1 private third party insurance ,no car policies,1 fire policies,Young seniors in the city,have 1 house
85>income>75,imcome<123,good income,above poverty line,f 0,no Contribution car policies,Contribution by Limits fire policies,no private third party insurance ,no car policies,1 fire policies,Etnically diverse,have 1 house
95>income>85,imcome<123,good income,top high class,f 1 - 49,no Contribution car policies,"Sum Insured Under each Policy: Rs. 50,00,000",1 private third party insurance ,no car policies,2 fire policies,Family starters,have 1 house
122>income>75,imcome<123,good income,middle class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,1 fire policies,Lower class large families,have 2 houses
122>income>75,imcome<123,good income,high class,f 50 - 99,full Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,1 car policies,1 fire policies,Large religous families,have 2 houses
122>income>75,imcome<123,not so good income,top high class,f 0,partial Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Family starters,have 1 house
122>income>75,imcome<123,good income,golden class,f 50 - 99,no Contribution car policies,Contribution by Equal Shares fire policies,1 private third party insurance ,no car policies,1 fire policies,Affluent young families,have 1 house
122>income>75,imcome<123,not so good income,high class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Village families,have 1 house
115>income>105,income is bit bigger than 123,too good income,above poverty line,f 50 - 99,no Contribution car policies,"The total value of the property:Rs. 50,00,000",1 private third party insurance ,no car policies,1 fire policies,Religious elderly singles,have 1 house
122>income>75,imcome<123,not so good income,above poverty line,f 0,full Contribution car policies,no Contribution fire policies,no private third party insurance ,1 car policies,no fire policies,Religious elderly singles,have 1 house
85>income>75,income is bit bigger than 123,not so good income,middle class,f 0,full Contribution car policies,Contribution by Limits fire policies,no private third party insurance ,1 car policies,1 fire policies,Couples with teens 'Married with children',have 1 house
95>income>85,income is much bigger than 123,too high income,top high class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,"Large family, employed child",have 1 house
122>income>75,imcome<123,not so good income,middle class,f 0,no Contribution car policies,no Contribution fire policies,no private third party insurance ,no car policies,no fire policies,Young and rising,have 2 houses
