Income 75-122.000,Income >123.000,Average income,Purchasing power class,Contribution private third party insurance,Contribution car policies,Contribution fire policies,AWAPART Number of private third party insurance 1 - 12,Number of car policies,Number of fire policies,Customer Subtype,Number of houses 
0,0,4,3,0,6,5,0,1,1,33,1
2,0,5,4,2,0,2,2,0,1,37,1
0,0,3,4,2,6,2,1,1,1,37,1
0,0,4,4,0,6,2,0,1,1,9,1
0,0,6,3,0,0,6,0,0,1,40,1
0,0,3,3,0,6,0,0,1,0,23,1
0,0,3,5,0,6,0,0,1,0,39,2
0,0,3,3,0,0,0,0,0,0,33,1
0,0,2,3,0,5,0,0,1,0,33,1
1,0,4,7,2,0,3,1,0,1,11,2
2,2,8,7,0,6,0,0,1,0,10,1
1,0,3,4,2,5,2,1,1,1,9,1
1,0,3,3,0,6,0,0,1,0,33,1
1,0,4,4,0,0,0,0,0,0,41,1
0,0,3,3,2,5,2,1,1,1,23,1
0,0,3,3,2,0,4,1,0,1,33,1
2,0,5,4,0,0,0,0,0,0,38,1
0,0,4,2,2,6,3,1,1,1,22,2
0,0,4,6,2,5,2,1,1,1,13,1
0,0,3,1,0,0,0,0,0,0,31,1
0,0,3,3,0,6,0,0,1,0,33,1
0,0,3,3,2,6,4,1,1,1,33,2
0,0,5,6,2,6,4,1,1,1,13,1
0,0,4,6,0,0,0,0,0,0,34,2
0,0,4,6,0,0,0,0,0,0,13,2
0,0,4,3,2,0,4,1,0,1,33,1
2,0,5,4,0,6,0,0,1,0,37,1
0,0,3,3,2,0,3,1,0,1,40,1
0,0,1,1,0,0,0,0,0,0,31,1
0,0,3,3,2,0,3,1,0,1,33,2
0,0,3,2,2,6,3,1,1,1,24,2
0,0,3,3,0,0,0,0,0,0,23,1
0,1,4,3,0,6,3,0,1,1,33,1
0,0,3,4,0,0,0,0,0,0,38,1
0,0,4,6,0,0,3,0,0,1,13,2
0,0,3,7,2,6,3,1,1,1,8,1
0,0,4,6,2,6,4,1,2,1,7,1
1,0,3,4,0,0,1,0,0,1,41,1
0,0,3,5,0,0,6,0,0,1,39,1
1,0,3,3,2,5,4,1,1,1,33,2
0,0,3,2,2,0,2,1,0,1,24,1
0,1,4,6,2,6,4,1,1,2,11,1
1,1,5,7,0,0,6,0,0,1,8,1
1,0,4,3,0,6,0,0,1,0,33,1
1,0,4,6,2,0,5,1,0,1,3,1
1,1,3,4,2,6,3,1,1,1,38,1
1,0,3,3,1,0,3,1,0,1,36,1
0,0,2,4,2,5,3,1,1,1,38,1
1,0,4,5,0,5,0,0,1,0,39,1
0,0,3,3,1,0,2,1,0,1,33,2
0,0,3,3,0,6,0,0,1,0,33,1
0,0,3,1,2,0,3,1,0,1,25,1
1,0,4,2,0,0,3,0,0,1,20,1
2,0,4,6,1,0,2,1,0,2,11,1
0,0,4,3,2,6,4,1,1,1,33,2
0,0,4,5,2,6,4,1,1,1,39,2
0,0,3,6,0,5,0,0,1,0,11,1
0,0,4,7,2,0,4,1,0,1,12,1
0,0,3,5,0,0,0,0,0,0,35,1
